movie_rank, movie_name, movie_year, movie_rating, num_user_rating
153,The General,1926,8.1,68234
154,Wild Strawberries,1957,8.1,79786
155,Dial M for Murder,1954,8.1,134347
156,Trainspotting,1996,8.1,569143
157,No Country for Old Men,2007,8.1,733893
158,There Will Be Blood,2007,8.1,445710
159,The Sixth Sense,1999,8.1,815457
160,Gone with the Wind,1939,8.1,254807
161,Fargo,1996,8.1,540062
162,The Thing,1982,8.1,316054
163,Gran Torino,2008,8.1,648932
164,The Deer Hunter,1978,8.1,274708
165,Finding Nemo,2003,8.1,831058
166,Sherlock Jr.,1924,8.1,29741
167,Come and See,1985,8.1,39990
168,The Big Lebowski,1998,8.1,634796
169,Kill Bill: Vol. 1,2003,8.1,867403
170,Shutter Island,2010,8.1,958324
171,Cool Hand Luke,1967,8.1,142511
172,Rebecca,1940,8.1,106645
173,A Star Is Born,2018,8.1,45377
174,Tokyo Story,1953,8.1,40631
175,Hacksaw Ridge,2016,8.1,337148
176,Mary and Max,2009,8.1,145442
177,Sunrise,1927,8.1,40960
178,How to Train Your Dragon,2010,8.1,581151
179,Gone Girl,2014,8.1,723155
180,Wild Tales,2014,8.1,140716
181,Jurassic Park,1993,8.1,748458
182,Into the Wild,2007,8.1,507155
183,The Bandit,1996,8.1,52214
184,Life of Brian,1979,8.1,320520
185,It Happened One Night,1934,8.1,81435
186,In the Name of the Father,1993,8.1,135817
187,Platoon,1986,8.1,340125
188,The Grand Budapest Hotel,2014,8.1,604042
189,Stand by Me,1986,8.1,322557
190,Network,1976,8.1,126008
191,The Truman Show,1998,8.1,801100
192,Stalker,1979,8.1,92141
193,Hotel Rwanda,2004,8.1,304785
194,Ben-Hur,1959,8.1,194448
195,Andrei Rublev,1966,8.1,36187
196,Persona,1966,8.1,81897
197,Memories of Murder,2003,8.1,93878
198,12 Years a Slave,2013,8.1,551649
199,The Wages of Fear,1953,8.1,46214
200,Million Dollar Baby,2004,8.1,566886
201,Rang De Basanti,2006,8.1,96070
202,Rush,2013,8.1,378460
203,The Passion of Joan of Arc,1928,8.1,38288
204,Mad Max: Fury Road,2015,8.1,738517
205,Before Sunrise,1995,8.1,227836
206,The 400 Blows,1959,8.1,88275
207,Spotlight,2015,8.1,339372
208,Logan,2017,8.1,513368
209,Amores Perros,2000,8.1,201275
210,Hachi: A Dog's Tale,2009,8.1,211402
211,Prisoners,2013,8.1,500053
212,The Princess Bride,1987,8.1,344696
213,Nausicaä of the Valley of the Wind,1984,8.0,122339
214,Butch Cassidy and the Sundance Kid,1969,8.0,180697
215,Catch Me If You Can,2002,8.0,678098
216,Harry Potter and the Deathly Hallows: Part 2,2011,8.0,660736
217,Rocky,1976,8.0,452524
218,Barry Lyndon,1975,8.0,126287
219,Monsters| Inc.,2001,8.0,706037
220,The Maltese Falcon,1941,8.0,135923
221,The Grapes of Wrath,1940,8.0,78180
222,Diabolique,1955,8.0,54167
223,Donnie Darko,2001,8.0,676817
224,The Terminator,1984,8.0,701555
225,Gandhi,1982,8.0,201374
226,Dead Poets Society,1989,8.0,346795
227,Blade Runner 2049,2017,8.0,336361
228,La La Land,2016,8.0,397054
